Type, Make, Model,trim, Engine, Mileage, Power, Weight, Status
Bike, Yamaha, FZ, Standard, 153cc, 48, 13.8 bhp, 135, Discontinued
Bike, BMW, s-100, RR Standard, 999cc, 17, 195.7 bhp, 204, 
